returned;Order ID;row_id;order_id;order_date;ship_date;ship_mode;customer_id;customer_name;segment;country;city;state;postal_code;region;product_id;category;subcategory;product_name;sales;quantity;discount;profit;person;region_1
Yes    ;CA-2016-100762;6315;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-AR-10000380;Office Supplies;Art        ;Hunt PowerHouse Electric Pencil Sharpener, Blue                                                                                ;151,92;4;0,0;45.576;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6316;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-LA-10003930;Office Supplies;Labels     ;Dot Matrix Printer Tape Reel Labels, White, 5000/Box                                                                           ;196,62;2;0,0;96.3438;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6317;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10001815;Office Supplies;Paper      ;Xerox 1885                                                                                                                     ;144,12;3;0,0;69.1776;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6318;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10004082;Office Supplies;Paper      ;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book                                          ;15,96;2;0,0;7.98;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6315;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-AR-10000380;Office Supplies;Art        ;Hunt PowerHouse Electric Pencil Sharpener, Blue                                                                                ;151,92;4;0,0;45.576;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6316;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-LA-10003930;Office Supplies;Labels     ;Dot Matrix Printer Tape Reel Labels, White, 5000/Box                                                                           ;196,62;2;0,0;96.3438;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6317;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10001815;Office Supplies;Paper      ;Xerox 1885                                                                                                                     ;144,12;3;0,0;69.1776;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6318;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10004082;Office Supplies;Paper      ;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book                                          ;15,96;2;0,0;7.98;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6315;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-AR-10000380;Office Supplies;Art        ;Hunt PowerHouse Electric Pencil Sharpener, Blue                                                                                ;151,92;4;0,0;45.576;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6316;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-LA-10003930;Office Supplies;Labels     ;Dot Matrix Printer Tape Reel Labels, White, 5000/Box                                                                           ;196,62;2;0,0;96.3438;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6317;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10001815;Office Supplies;Paper      ;Xerox 1885                                                                                                                     ;144,12;3;0,0;69.1776;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6318;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10004082;Office Supplies;Paper      ;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book                                          ;15,96;2;0,0;7.98;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6315;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-AR-10000380;Office Supplies;Art        ;Hunt PowerHouse Electric Pencil Sharpener, Blue                                                                                ;151,92;4;0,0;45.576;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6316;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-LA-10003930;Office Supplies;Labels     ;Dot Matrix Printer Tape Reel Labels, White, 5000/Box                                                                           ;196,62;2;0,0;96.3438;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6317;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10001815;Office Supplies;Paper      ;Xerox 1885                                                                                                                     ;144,12;3;0,0;69.1776;Kelly Williams   ;Central
Yes    ;CA-2016-100762;6318;CA-2016-100762;2016/11/24 00:00:00.000;2016/11/29 00:00:00.000;Standard Class;NG-18355;Nat Gilpin            ;Corporate  ;United States;Jackson          ;Michigan            ;49201;Central;OFF-PA-10004082;Office Supplies;Paper      ;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book                                          ;15,96;2;0,0;7.98;Kelly Williams   ;Central
Yes    ;CA-2016-100867;9462;CA-2016-100867;2016/10/19 00:00:00.000;2016/10/24 00:00:00.000;Standard Class;EH-14125;Eugene Hildebrand     ;Home Office;United States;Lakewood         ;California          ;90712;West   ;TEC-PH-10004922;Technology     ;Phones     ;RCA Visys Integrated PBX 8-Line Router                                                                                         ;321,552;6;0,2;20.097;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6018;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10003309;Office Supplies;Paper      ;Xerox 211                                                                                                                      ;19,44;3;0,0;9.3312;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6019;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10001977;Office Supplies;Paper      ;Xerox 194                                                                                                                      ;55,48;1;0,0;26.6304;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6016;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10000747;Furniture      ;Furnishings;Tenex B1-RE Series Chair Mats for Low Pile Carpets                                                                             ;91,96;2;0,0;15.6332;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6017;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10001918;Furniture      ;Furnishings;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings                                                               ;33,11;7;0,0;12.9129;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6018;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10003309;Office Supplies;Paper      ;Xerox 211                                                                                                                      ;19,44;3;0,0;9.3312;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6019;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10001977;Office Supplies;Paper      ;Xerox 194                                                                                                                      ;55,48;1;0,0;26.6304;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6016;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10000747;Furniture      ;Furnishings;Tenex B1-RE Series Chair Mats for Low Pile Carpets                                                                             ;91,96;2;0,0;15.6332;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6017;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10001918;Furniture      ;Furnishings;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings                                                               ;33,11;7;0,0;12.9129;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6018;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10003309;Office Supplies;Paper      ;Xerox 211                                                                                                                      ;19,44;3;0,0;9.3312;Anna Andreadi    ;West   
